id,user_rating,user_name,user_profile,user_review,user_reviewdate,user_staydate
1,5.0,Billy Banda Gizmo Dorothy,https://www.tripadvisor.ca/Profile/Gizmo4ever,"great view Great place to stay and you have the casino inside. Its very busy in the summer, but you can get better deals in the winter. A short walk to falls and nice restaurant to eat inside. Plus you are right in the middle of souvenir shops and places to eat.",Mar. 22, June 2018
1,4.0,VisitorfromOntario9,https://www.tripadvisor.ca/Profile/VisitorfromOntario9,Nice Winter Break Our multi generational family stayed four nights in January.  Comfortable large room and good service. Beautiful views and right beside the falls for great outside walks. Inside access to water park and to casino. Can’t beat the location in good weather or bad.,Mar. 19, January 2019
1,5.0,Odyssey624335,https://www.tripadvisor.ca/Profile/Odyssey624335,"Perfect View of the Falls A room with a spectacular view of Niagara Falls. This Junior King Suite is beautifully appointed with a spacious spa bathroom and bedroom. French doors separate the bedroom and living space which boasts a wall to wall front row view of the falls. The night lights that illuminate', '…",Mar. 19, March 2019
1,5.0,Melissa F,https://www.tripadvisor.ca/Profile/956melissaf,Great time!! Beautiful hotel. We would stay again. We hot a Groupon and had a wonderful time. Beautiful view overlooking the falls. Lovely and pleasant staff. Restaurant was great. Highly recommend this stunning hotel,Mar. 19, March 2019
1,5.0,2kidswilltravel37,https://www.tripadvisor.ca/Profile/2kidswilltravel37,"Peaceful, perfect unobstructed views Having an unobstructed close up view of the falls added so much to our visit. The 20th floor room was set up with two comfortable chairs facing out the window, making it a wonderful place to relax. It was a classy hotel.  My comparison is a previous stay at Embassy Suites next', '…",Mar. 15, March 2019
1,4.0,marysevigneault,https://www.tripadvisor.ca/Profile/marysevigneault,Wonderful place for a Wow You want a meeting of high quality? Food is good view amazing. Rooms are a very good size. Near of everything. To upgrade is coordination. Was a nice place to be. Staff smiling and helpful. Personnal Hygiene products of good quality,Feb. 2019, February 2019
1,4.0,HappyToTravel,https://www.tripadvisor.ca/Profile/No_Repeat12,"Business workshop This was a 3 day 2 night stay while we had a workshop on location. The rooms are a little dated, but nice and clean. The hotel staff were generally friendly and helpful, only one thing to mention was that we were a group of 8, and we did not all get the same information at the', '…",Feb. 2019, February 2019
1,5.0,Mabdad1,https://www.tripadvisor.ca/Profile/Mabdad1,"Fantastic hotel One night stay in Feb, check in first class and allocated room was a dream  20th floor overlooking the falls was spectacular  Nice touch having 2 comfortable chairs facing the falls  Food , room standard and bar areas great and staff really attentive to our groups needs  Well', '…",Feb. 2019, February 2019
1,4.0,Nate D,https://www.tripadvisor.ca/Profile/nated602,"Great View All the rooms overlook the falls, so you're guaranteed to have a beautiful view. The bed was comfortable. When we checked out, there was a 90 minute wait to get our car, even though they promised it would be ready within 15 minutes. Other than that we were satisfied with our"", '…",Feb. 2019, January 2019
1,5.0,LeeLee7576,https://www.tripadvisor.ca/Profile/LeeLee7576,"Great visit First time to Niagra Falls! We chose this hotel due to location. We got a falls view room. We were a little disappointed the fireworks had ended before visiting but we loved seeing the falls all lit up at night! Hotel is nice - very busy. We opted for the off site parking', '…",Feb. 2019, October 2018
1,5.0,Amron304,https://www.tripadvisor.ca/Profile/Amron304,"All I can say is WOW! It was incredible, the view!   Thank you so much for such an awesome visit!  The room we were given was the best!  The bar the Starbucks inside the hotel!   Didn’t have to go far for food, drinks or coffee!    The staff was ALWAYS friendly!    The answered any and all questions', '…",Feb. 2019, January 2019
1,5.0,Beatriz FV,https://www.tripadvisor.ca/Profile/beatrizfv19,"Amazing Hotel We booked this hotel to spend the weekend before Valentine’s Day, my fiance booked the Superior King Fallsview Room, when we got there they told us that the room they had available was on the eight floor and we refused to take that one cause other reviewers said the view was way', '…",Feb. 2019, February 2019
1,4.0,Paul C,https://www.tripadvisor.ca/Profile/paulc726,"Very nice hotel When I booked the hotel I wasn’t sure what the state of the rooms would be in because the pictures on the hotel website weren’t good. However took the chance and I was pleasantly surprised that the rooms looked good. I think it’s almost time for an upgrade in the near future', '…",Feb. 2019, February 2019
1,4.0,Michelle J,https://www.tripadvisor.ca/Profile/360michellej,Good place to stay If you are looking for a great view of the falls this is the place to stay. We were on the 18th floor and loved the view. Windows in our room were pretty dirty but if you can get past that it is really a good room. ,Feb. 2019, February 2019
1,4.0,lisamax0707,https://www.tripadvisor.ca/Profile/lisamax0707,"Gotta Love The Views! This was a perfect place to stay during our autumn (off-season) trip to Niagara Falls.  We loved the view from our room and were very pleased with the accouterments.  The hotel staff was friendly and helpful, and the in-house restaurants quite good.  If you go, I recommend you', '…",Feb. 2019, October 2018
1,5.0,Kris E,https://www.tripadvisor.ca/Profile/449krise,"Would definitely return Staff was very friendly and accommodating. We Upgraded our room upon arrival and they were very helpful. Highly recommend the package with breakfast included. It was excellent and we were able to skip lunch because it was so filling. We didn’t have a car and Ubered to', '…",Feb. 2019, February 2019
1,4.0,R M,https://www.tripadvisor.ca/Profile/rmT9219ZA,"Great spot, Amazing view Whirlpool king room, midlevel floor still had an amazing view. Walking distance to Casino. Valet is easiest and worth it. If going to Niagara just for a night or two this is the by far the best luxury at an affordable option.",Feb. 2019, January 2019
1,5.0,KIMANN,https://www.tripadvisor.ca/Profile/KIMANN123,"Great hotel with a magnificent view of the falls. Beautiful hotel with updated clean rooms and great beds. The rooms overlook the falls for a top notch view. The service here is exceptional!  I called down to the front desk for extra coffee which was delivered in minutes. I also needed a corkscrew and that was brought up with', '…",Feb. 2019, January 2019
1,5.0,Holly Theriault,https://www.tripadvisor.ca/Profile/Htheriault,"Very nice Our night stay here was very welcoming, all of the staff were great, I give the valet parking crew props for always being there when we want our vehicles or checking in and out on these cold winter days/nights.  I will be going back to this hotel in a few weeks for my birthday', '…",Jan. 2019, January 2019
1,5.0,wrossi,https://www.tripadvisor.ca/Profile/wrossi,"Enjoyable stay at Marriott Falls & Spa Very nice accommodations overlooking the falls. Staff were very friendly and helpful and seemed happy to be there. The Groupon was a great value on the room rate and even included a winter package that we were able to take advantage of such as the casino and wineries. My only', '…",Jan. 2019, January 2019
1,3.0,loriannoliveira,https://www.tripadvisor.ca/Profile/loriannoliveira,"Great views, disappointing end. My husband and I stayed here for a spa weekend. We loved the falls view and there were even fireworks both nights which was nice. The room was relatively clean, I did see some stains on the mattress cover that I wasn't impressed with but I feel like you can never stay in a hotel"", '…",Jan. 2019, November 2018
1,4.0,monolithtravels,https://www.tripadvisor.ca/Profile/monolithtravels,"Great place to stay when visiting Niagara Falls. Pros: Best hotel views of the falls and closest hotel to the Canadian Falls. Well renovated new suites. Friendly and accommodating staff. Decent amenities.   Cons: Parking\\valet is overpriced at $40 per day, ""resort"" fees are a rip off. These hidden fees mean you will end up', '…",Jan. 2019, January 2019
1,5.0,george45,https://www.tripadvisor.ca/Profile/george45,"Magnificent Views and Great Hotel Booked a Junior Suite King Bed Fallsview and Whirlpool Bath for 2 nights.  Room was very neat and tidy and certainly had great views.  Somehow I got the impression that the Whirlpool bath was close to the windows so you could lounge back and look at the Falls.  It was something', '…",Jan. 2019, September 2018
1,1.0,Dana N,https://www.tripadvisor.ca/Profile/dandan444,"One of the worst hotels i have been to around the world (if not the worst!) The Marriott is charging around $300 per night and they can't even give me a room with a properly made bed. When I got my room, the bed looked like someone has been jumping on it for the past hour (Pictures attached). Even in a cheap Motel,  they never give you the room with a"", '…",Jan. 2019, January 2019
1,3.0,ShellsEastCoast,https://www.tripadvisor.ca/Profile/ShellsEastCoast,"Overcharge ~ FEES! In reading other reviews I realize now we should have chosen another property.  Yes, the view is outstanding and happily the rooms are being renovated.  But as others say, park elsewhere or be prepared to wait for your car and pay $40 a night for the privilege.  Too, we are', '…",Jan. 2019, January 2019
1,5.0,Frank G,https://www.tripadvisor.ca/Profile/FrankG554,"Always Awesome Always stay here when in the Falls.  As a Platinum premier member they sure make you feel like you belong there.  From the valet parking service to the check in folks to the folks in the bars and restaurants and the folks who maintain the hotel.  All are super friendly.  Views', '…",Jan. 2019, January 2019
1,3.0,ROBBO131,https://www.tripadvisor.ca/Profile/ROBBO131,"Breathtaking views We arrived at the hotel at 9:30 pm and had to wait in the cold for 20 minutes for our bags to be brought in from the curb (shuttle buses are not allowed to drop off in the driveway) which wasn't a great first impression. We paid for Falls views and they were breathtaking and"", '…",Jan. 2019, December 2018
1,3.0,Sandy_B56,https://www.tripadvisor.ca/Profile/Sand_in_my_bikini_ay,"Okay but might want to consider alternative Went there for a mid winter break, We were there only for one night and took advantage of the amenities offered. Pool and fitness center are excellent and some of the best I have been to in a hotel. Milestones the in building restaurant was excellent for dinner. The breakfast', '…",Jan. 2019, January 2019
1,5.0,Jim M,https://www.tripadvisor.ca/Profile/88JimM,"Weekday getaway! Spent two nights, very close to casino, had a Jacuzzi Falls View Room. Restaurants are very close, went to a show, just a relaxing time away with no worries in the world. Will definitely stay there again!",Jan. 2019, February 2018
1,5.0,wftadros,https://www.tripadvisor.ca/Profile/wftadros,"Stay at the hotel Excellent spacious rooms, very friendly service, beautiful view, delicious food, very good facilities; pool, exercise room, coffee shop, Valet parking, enough on site parking, Good price for the service. It couldn't be better",Jan. 2019, December 2018
1,5.0,Randi S,https://www.tripadvisor.ca/Profile/Randiseid,"The view couldn’t be better Pleasant hotel no complaints - one night is enough in Niagara if you are just interested in seeing the falls.  As far as Niagara goes If you like tourist traps with all the fixins this is your place!  Frankly once we saw the falls (boat ride and all), and had an amazing meal at', '…",Jan. 2019, July 2018
1,5.0,Derrick Gillard,https://www.tripadvisor.ca/Profile/307derrickg,"Romantic getaway at a very charming and beautiful hotel with exceptional customer service. Check out the photos of the views from our room below 😍! The room number is 2323 and in my opinion the best room to stay in while playing and loving in Niagara Falls.   Ok on to My review. Let me start by saying that you should only stay at the Marriott Niagara Falls hotel', '…",Jan. 2019, January 2019
1,5.0,Bluhmbrown,https://www.tripadvisor.ca/Profile/Bluhmbrown,"second time a charm Last year we visited the resort and had a not so nice experience.  Decided to give it another try and to our surprise, the room was recently updated and looked amazing. The bed was very comfortable, the chairs overlooking the falls wonderful, the room very clean and the resort', '…",Jan. 2019, January 2019
1,5.0,berryphat00,https://www.tripadvisor.ca/Profile/berryphat00,"Cannot beat the view  My boyfriend and I stayed here over the weekend for part of our babymoon. We booked the hotel room with a view of Niagara Falls and a jetted tub. The view   from our room was amazing and breathtaking. Mind you it was also 35 degrees Fahrenheit outside so the days were overcast,', '…",Jan. 2019, December 2018
1,5.0,Veronica,https://www.tripadvisor.ca/Profile/bookwormmom1111,"Amazing View of the Falls! We stayed overnight at Marriott and it was a great experience for us. The location was great, and the room that we stayed in allowed us to see an awesome view of the Falls, We also used their Indoor Pool, and the Gym. The staff were helpful and nice. The room was clean and the', '…",Jan. 2019, December 2018
1,4.0,beccawatson06,https://www.tripadvisor.ca/Profile/beccawatson06,"Amazing view! Incredible view of the American falls! super comfortable beds! Quite pricey for buffet and food. There’s a Starbucks on the main floor. Very close to the main entertainment areas, fireworks on saturday evening, right beside the casino, parking near by.",Jan. 2019, June 2018
1,4.0,EndlessSummerOwens,https://www.tripadvisor.ca/Profile/EndlessSummerOwens,"Amazing Views, Full Amenities We were a family of four with adjoining rooms for several nights after Christmas 2018.  The hotel staff was very friendly and helpful.  We opted for views of the falls and were not disappointed.  Being able to watch the night time fireworks from the warmth of our rooms was a', '…",Jan. 2019, December 2018
1,2.0,irmadevita,https://www.tripadvisor.ca/Profile/irmadevita,"Breathtaking View With Very Bad Service I would happily put five stars for this hotel before I got a very unpleasant service from the breakfast restaurant’s staff/waiter. We check in at December 25th 2018 and check out at 26th with a group tour : Destination of America.   The unpleasant experience we got on a', '…",Jan. 2019, December 2018
1,5.0,Mista Jay,https://www.tripadvisor.ca/Profile/mistajay1111,"Great Start to the New Year  Stayed here recently for New Year's celebration from December 30 to Jan 1st.  Parking is $40 per day, valet or self park is the same rate.  Needless to say they were very busy and since I booked online and not on my Marriott App we had to check in at the front desk. The line up"", '…",Jan. 2019, December 2018
